SERVICE_NAME,SERVICE_CODE,DESCRIPTION,REQUESTED_DATETIME,ADDRESS,LATITUDE,LONGITUDE
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-11-04T13:51:00Z,"""4694 ASHTREE DR, CINC - GJ1195139264""",39.1768041302789,-84.5463276158454
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2019-04-01T08:39:00Z,"""3317 JEFFERSON AV, CINC - GJ1485035359""",39.1409310259543,-84.5140338135077
"""Dead animal""","""DAPUB1""","""POSSUM NEAR CURB """,2019-04-01T11:09:00Z,"""921 CHARLOTTE ST - GJ1353032631 """,39.1166934714525,-84.5301525243079
"""Dead animal""","""DAPUB1""","""VERY LARGE DEAD RACCOON - AT LEAST 35 POUNDS - IN BAG IN VERY LARGE BOX AT CURB. CALLER IS NOT SURE HOW LONG IT HAS BEEN DEAD, BUT DIDN'T WANT TO LEAVE IT IN ROAD TO ROT ANY LONGER""",2019-03-29T13:02:00Z,"""2737 ORLAND AV - GJ0964134645 """,39.135770318586,-84.5744802672107
"""Dead animal""","""DAPUB1""","""DEAD CAT""",2019-11-04T13:18:00Z,"""2404 BEECHMONT AV - GJ2598531046 """,39.0992802531559,-84.3867630237896
"""Dead animal""","""DAPUB1""","""PER 882- Dead Possum removed""",2020-03-25T08:56:00Z,"""3639 GLENWAY AV - GJ0989532206 """,39.1137503696842,-84.5723007974815
"""Dead animal""","""DAPUB1""","""AT 1101 SUNSET PER 882- Removed a squirrel""",2020-03-25T09:00:00Z,"""SUNSET AV & WESTHAVEN AV - GJ0878032046 """,39.1125819509213,-84.5852288150271
"""Dead animal""","""DAPUB1""","""dead raccoon with 4 dead baby raccoons in middle of street in front of 2620 knorr av""",2019-04-01T13:24:00Z,"""2620 KNORR AV - GJ1028834349 """,39.1329499059743,-84.5670941085814
"""Dead animal""","""DAPUB1""","""DEAD SQUIRREL AT THE CURB""",2020-03-25T09:53:00Z,"""1972 BALTIMORE AV - GJ1087834927 """,39.138012606418,-84.5600876060394
"""Dead animal""","""DAPUB1""","""2 DEAD CATS IN A BOX IN BAGS AT THE CURB""",2019-04-01T10:14:00Z,"""2737 ORLAND AV - GJ0964134645 """,39.135770318586,-84.5744802672107
"""Dead animal""","""DAPUB1""","""DEAD ANIMAL""",2019-03-29T12:29:00Z,"""SPRING GROVE AV & WINTON RD - GJ1421938018 """,39.1650221217492,-84.5204922108192
"""Dead animal""","""DAPUB1""","""PER 882- Removed dead possum """,2020-03-26T08:41:00Z,"""3200 BEEKMAN ST - GJ1171435520 """,39.1431498002705,-84.5502432203964
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2020-03-24T14:44:00Z,"""855 LUDLOW AV, CINC - GJ1313236245""",39.1493336662463,-84.5336099499058
"""Dead animal""","""DAPUB1""","""DEAD RACOON IN WHITE TRASH BAG""",2020-03-26T10:26:00Z,"""4513 MELLWOOD AV - GJ1458438594 """,39.1701135783605,-84.5160873309331
"""Dead animal""","""DAPUB1""","""Request entered through the Web. Refer to Intake Questions for further description.""",2020-08-11T07:22:00Z,"""315 W COURT ST, CINC - GJ1447431397""",39.1053592949499,-84.5196209189224
"""Dead animal""","""DAPUB1""","""Dead Possum """,2020-03-26T08:42:00Z,"""6101 ARGUS RD - GJ1284241927 """,39.200549895424,-84.5351914639778
